,Main Strategy,Underlying Strategy,Energy Sector,Total BTC Mined,Final USD Profit,Monthly BTC (avg),Monthly USD Profit (avg),BTC Risk-Adjusted Return,USD Risk-Adjusted Return,Avg Hashrate Usage (%)
Antpool (PPLNS) (Step-Diminish)_texas,Step-Diminish,Antpool (PPLNS),texas,0.2386494962983136,5807.569285028934,0.0099437290124298,241.98205354287543,1.910786427624287,1.6846984984818012,98.7292817679558
SECPOOL (PPLNS) (Step-Diminish)_texas,Step-Diminish,SECPOOL (PPLNS),texas,0.2386494962983136,5807.569285028934,0.0099437290124298,241.98205354287543,1.910786427624287,1.6846984984818012,98.7292817679558
SECPOOL (PPLNS) (Linear-Diminish)_texas,Linear-Diminish,SECPOOL (PPLNS),texas,0.23925685414531772,5802.834881489761,0.009969035589388489,241.78478672873476,1.9245913271913238,1.6797132038597,99.28441044071496
Spiderpool (PPLNS) (Linear-Diminish)_texas,Linear-Diminish,Spiderpool (PPLNS),texas,0.23925685414531772,5802.834881489761,0.009969035589388489,241.78478672873476,1.9245913271913238,1.6797132038597,99.28441044071496
Antpool (PPLNS) (Linear-Diminish)_texas,Linear-Diminish,Antpool (PPLNS),texas,0.23925685414531772,5802.834881489761,0.009969035589388489,241.78478672873476,1.9245913271913238,1.6797132038597,99.28441044071496
SBI Crypto (PPLNS) (Stop-Loss)_texas,Stop-Loss,SBI Crypto (PPLNS),texas,0.23403066157791105,5786.230585397152,0.009751277565746107,241.09294105821004,1.8284835120718699,1.706426450802684,95.54558011049724
Spiderpool (PPLNS) (Always-On)_texas,Always-On,Spiderpool (PPLNS),texas,0.23914598859223973,5771.1594493950515,0.009964416191343162,240.46497705812763,1.9465357074866183,1.659808393679696,100.0
SECPOOL (PPLNS) (Always-On)_texas,Always-On,SECPOOL (PPLNS),texas,0.23914598859223973,5771.1594493950515,0.009964416191343162,240.46497705812763,1.9465357074866183,1.659808393679696,100.0
Antpool (PPLNS) (Always-On)_texas,Always-On,Antpool (PPLNS),texas,0.23914598859223973,5771.1594493950515,0.009964416191343162,240.46497705812763,1.9465357074866183,1.659808393679696,100.0
SBI Crypto (PPLNS) (Step-Diminish)_texas,Step-Diminish,SBI Crypto (PPLNS),texas,0.23743895226559186,5759.245703940888,0.009893289677733038,239.9685709975332,1.9103223898792012,1.6780265036639763,98.71201657458563
SBI Crypto (PPLNS) (Linear-Diminish)_texas,Linear-Diminish,SBI Crypto (PPLNS),texas,0.2380331851368775,5754.53338634475,0.00991804938070297,239.77222443102895,1.9239362658710881,1.6730582047836866,99.25851818943705
SBI Crypto (PPLNS) (Always-On)_texas,Always-On,SBI Crypto (PPLNS),texas,0.2379502586492772,5722.460725748045,0.009914594110386442,238.43586357283706,1.9465357074866185,1.652637547339895,100.0
Ocean (TIDES) (Stop-Loss)_denmark,Stop-Loss,Ocean (TIDES),denmark,0.23191208306403754,5449.940761296006,0.009663003461001648,227.0808650539957,1.767567918876131,1.7246434224773852,89.60635359116023
Ocean (TIDES) (Step-Diminish)_denmark,Step-Diminish,Ocean (TIDES),denmark,0.24223267733216292,5367.32833293362,0.010093028222173332,223.63868053890346,1.8731433942745443,1.6652158375354569,96.18439226519338
Ocean (TIDES) (Linear-Diminish)_denmark,Linear-Diminish,Ocean (TIDES),denmark,0.24393635330190513,5353.259174339472,0.010164014720912742,223.05246559747692,1.8913803449535558,1.6553796460858101,97.3102608706746
Ocean (TIDES) (Always-On)_denmark,Always-On,Ocean (TIDES),denmark,0.24654225628066054,5194.872714093534,0.010272594011693982,216.4530297538968,1.946535707486618,1.5440657694735571,100.0
Spiderpool (PPLNS) (Stop-Loss)_denmark,Stop-Loss,Spiderpool (PPLNS),denmark,0.22279154945366186,5172.1480601547955,0.00928298122723603,215.506169173115,1.7519587299602504,1.6942418276599593,88.41505524861878
SECPOOL (PPLNS) (Stop-Loss)_denmark,Stop-Loss,SECPOOL (PPLNS),denmark,0.22279154945366186,5172.1480601547955,0.00928298122723603,215.506169173115,1.7519587299602504,1.6942418276599593,88.41505524861878
Antpool (PPLNS) (Stop-Loss)_denmark,Stop-Loss,Antpool (PPLNS),denmark,0.22279154945366186,5172.1480601547955,0.00928298122723603,215.506169173115,1.7519587299602504,1.6942418276599593,88.41505524861878
SBI Crypto (PPLNS) (Stop-Loss)_denmark,Stop-Loss,SBI Crypto (PPLNS),denmark,0.2210295254828338,5127.532998788793,0.009209563561784716,213.64720828286454,1.7482034897946097,1.6892945842834284,88.08701657458565
Spiderpool (PPLNS) (Step-Diminish)_denmark,Step-Diminish,Spiderpool (PPLNS),denmark,0.23419686933973283,5078.933470156615,0.009758202889155304,211.6222279231922,1.8675947567432758,1.6259658462822397,95.7389502762431
SECPOOL (PPLNS) (Step-Diminish)_denmark,Step-Diminish,SECPOOL (PPLNS),denmark,0.23419686933973283,5078.933470156615,0.009758202889155304,211.6222279231922,1.8675947567432758,1.6259658462822397,95.7389502762431
Antpool (PPLNS) (Step-Diminish)_denmark,Step-Diminish,Antpool (PPLNS),denmark,0.23419686933973283,5078.933470156615,0.009758202889155304,211.6222279231922,1.8675947567432758,1.6259658462822397,95.7389502762431
Spiderpool (PPLNS) (Linear-Diminish)_denmark,Linear-Diminish,Spiderpool (PPLNS),denmark,0.23606596614715344,5063.870904953765,0.009836081922798225,210.99462103973676,1.8852876321646317,1.6154234310612863,96.93450283209499
Antpool (PPLNS) (Linear-Diminish)_denmark,Linear-Diminish,Antpool (PPLNS),denmark,0.23606596614715344,5063.870904953765,0.009836081922798225,210.99462103973676,1.8852876321646317,1.6154234310612863,96.93450283209499
SECPOOL (PPLNS) (Linear-Diminish)_denmark,Linear-Diminish,SECPOOL (PPLNS),denmark,0.23606596614715344,5063.870904953765,0.009836081922798225,210.99462103973676,1.8852876321646317,1.6154234310612863,96.93450283209499
SBI Crypto (PPLNS) (Step-Diminish)_denmark,Step-Diminish,SBI Crypto (PPLNS),denmark,0.23283818459401728,5032.811534515267,0.009701591024750834,209.70048060480144,1.866383883137047,1.6198279305745584,95.63190607734808
SBI Crypto (PPLNS) (Linear-Diminish)_denmark,Linear-Diminish,SBI Crypto (PPLNS),denmark,0.23478638240607858,5017.269721879239,0.009782765933586804,209.0529050782992,1.884238385878243,1.6088410843201746,96.86799516658164
Spiderpool (PPLNS) (Always-On)_denmark,Always-On,Spiderpool (PPLNS),denmark,0.23914598859223973,4893.643495658512,0.009964416191343162,203.90181231910947,1.9465357074866183,1.4943737059200275,100.0
SECPOOL (PPLNS) (Always-On)_denmark,Always-On,SECPOOL (PPLNS),denmark,0.23914598859223973,4893.643495658512,0.009964416191343162,203.90181231910947,1.9465357074866183,1.4943737059200275,100.0
Antpool (PPLNS) (Always-On)_denmark,Always-On,Antpool (PPLNS),denmark,0.23914598859223973,4893.643495658512,0.009964416191343162,203.90181231910947,1.9465357074866183,1.4943737059200275,100.0
SBI Crypto (PPLNS) (Always-On)_denmark,Always-On,SBI Crypto (PPLNS),denmark,0.2379502586492772,4844.944772011621,0.009914594110386442,201.87269883381882,1.9465357074866185,1.4860753033096628,100.0
