,Main Strategy,Underlying Strategy,Energy Sector,Total BTC Mined,Final USD Profit,Monthly BTC (avg),Monthly USD Profit (avg),BTC Risk-Adjusted Return,USD Risk-Adjusted Return,Avg Hashrate Usage (%)
"Hybrid (30% Solo, 70% Foundry USA) (Always-On)_china",Always-On,"Hybrid (30% Solo, 70% Foundry USA)",china,0.6857817875473269,19313.340206578243,0.028574241147805546,804.7225086074342,1.6944760869189852,1.7249363751567588,100.0
"Hybrid (30% Solo, 70% ViaBTC) (Stop-Loss)_texas",Stop-Loss,"Hybrid (30% Solo, 70% ViaBTC)",texas,0.7200185017893903,19165.736645271783,0.030000770907890884,798.5723602196573,1.4810289926389273,1.4085106101869491,84.7376208563536
"Hybrid (30% Solo, 70% Foundry USA) (Stop-Loss)_kazakhstan",Stop-Loss,"Hybrid (30% Solo, 70% Foundry USA)",kazakhstan,0.6564861049354392,18993.88419153568,0.02735358770564354,791.4118413139873,1.6003825769838118,1.9488801505225657,100.0
"Hybrid (30% Solo, 70% Foundry USA) (Linear-Diminish)_texas",Linear-Diminish,"Hybrid (30% Solo, 70% Foundry USA)",texas,0.7456772787357251,18892.6066377741,0.031069886613988688,787.1919432405966,1.5564236450389561,1.5600999556628092,95.02324115695636
"Hybrid (30% Solo, 70% ViaBTC) (Step-Diminish)_china",Step-Diminish,"Hybrid (30% Solo, 70% ViaBTC)",china,0.6848414968231753,18777.899986372275,0.028535062367632414,782.4124994321828,1.7617158380568492,1.9147914047344499,100.0
Ocean (TIDES) (Stop-Loss)_texas,Stop-Loss,Ocean (TIDES),texas,0.7298415693873362,18383.632799612624,0.030410065391139413,765.9846999838664,1.8447841553520767,1.747009176793553,96.20165745856355
Ocean (TIDES) (Step-Diminish)_texas,Step-Diminish,Ocean (TIDES),texas,0.7389419172645811,18316.149832978866,0.030789246552690653,763.1729097074614,1.9171186269455973,1.7235181123255008,98.98135359116023
Ocean (TIDES) (Linear-Diminish)_texas,Linear-Diminish,Ocean (TIDES),texas,0.7404338598319474,18305.96858842668,0.03085141082633171,762.7486911844402,1.9282386972585788,1.7199631662650374,99.42749627291974
"Hybrid (30% Solo, 70% Foundry USA) (Stop-Loss)_china",Stop-Loss,"Hybrid (30% Solo, 70% Foundry USA)",china,0.6449479617380457,18276.877788451668,0.026872831739085463,761.5365745188324,1.7759721490160147,1.7309630343675129,100.0
Ocean (TIDES) (Always-On)_texas,Always-On,Ocean (TIDES),texas,0.7396267688419591,18217.166003489714,0.030817782035081943,759.0485834787451,1.9465357074866174,1.7028205171916238,100.0
"Hybrid (30% Solo, 70% Foundry USA) (Stop-Loss)_denmark",Stop-Loss,"Hybrid (30% Solo, 70% Foundry USA)",denmark,0.6190571699578056,18157.819657644413,0.025794048748241843,756.5758190685124,1.4909429467822173,1.6551971099371432,68.12871201657458
"Hybrid (30% Solo, 70% ViaBTC) (Linear-Diminish)_china",Linear-Diminish,"Hybrid (30% Solo, 70% ViaBTC)",china,0.64645968818462,18086.663606645077,0.0269358203410259,753.6109836102169,1.8772031187852871,1.8708458325027277,100.0
Solo Mining (Always-On)_kazakhstan,Always-On,Solo Mining,kazakhstan,0.6364421904419688,17902.254649282164,0.026518424601748695,745.9272770533861,1.2675394556084614,1.20495250737343,100.0
Antpool (PPLNS) (Stop-Loss)_texas,Stop-Loss,Antpool (PPLNS),texas,0.7058274963401732,17501.014398753636,0.029409479014173956,729.2089332814002,1.8303841864120656,1.7121445502635118,95.61464088397791
Antpool (PPLNS) (Step-Diminish)_texas,Step-Diminish,Antpool (PPLNS),texas,0.7159484888949333,17422.707855086803,0.029831187037289403,725.9461606286264,1.9107864276242872,1.6846984984818003,98.7292817679558
Antpool (PPLNS) (Linear-Diminish)_texas,Linear-Diminish,Antpool (PPLNS),texas,0.7177705624359685,17408.50464446854,0.029907106768165475,725.3543601862048,1.924591327191324,1.6797132038596998,99.28441044071498
Antpool (PPLNS) (Always-On)_texas,Always-On,Antpool (PPLNS),texas,0.7174379657767201,17313.478348184806,0.02989324857402949,721.3949311743833,1.9465357074866174,1.6598083936796957,100.0
"Hybrid (30% Solo, 70% Foundry USA) (Stop-Loss)_texas",Stop-Loss,"Hybrid (30% Solo, 70% Foundry USA)",texas,0.6758580774070193,17265.344118670946,0.028160753225292077,719.3893382779706,1.5501355517385158,1.8076034741718885,84.78946823204421
"Hybrid (30% Solo, 70% Foundry USA) (Step-Diminish)_denmark",Step-Diminish,"Hybrid (30% Solo, 70% Foundry USA)",denmark,0.7044718171786706,16581.320227518645,0.02935299238244432,690.888342813274,1.5254339710823912,1.445560232651435,84.75833218232044
Ocean (TIDES) (Stop-Loss)_denmark,Stop-Loss,Ocean (TIDES),denmark,0.6957362491921224,16349.82228388787,0.028989010383004953,681.2425951619878,1.767567918876131,1.7246434224773841,89.60635359116023
"Hybrid (30% Solo, 70% Foundry USA) (Linear-Diminish)_denmark",Linear-Diminish,"Hybrid (30% Solo, 70% Foundry USA)",denmark,0.6828662562069717,16256.835703169212,0.02845276067529079,677.3681542987091,1.4353730336691004,1.3817506402461377,87.66955909145713
"Hybrid (30% Solo, 70% Foundry USA) (Always-On)_texas",Always-On,"Hybrid (30% Solo, 70% Foundry USA)",texas,0.6925946502439331,16142.399438823133,0.02885811042683074,672.5999766176333,1.6969239555431226,1.410597050601788,100.0
"Hybrid (30% Solo, 70% ViaBTC) (Stop-Loss)_denmark",Stop-Loss,"Hybrid (30% Solo, 70% ViaBTC)",denmark,0.5615091515782117,16117.52263861136,0.023396214649092015,671.5634432754869,1.4216860322047766,1.4446353198097113,67.99048687845305
Ocean (TIDES) (Step-Diminish)_denmark,Step-Diminish,Ocean (TIDES),denmark,0.7266980319964942,16101.98499880133,0.030279084666519993,670.9160416167109,1.873143394274544,1.665215837535455,96.18439226519337
"Hybrid (30% Solo, 70% ViaBTC) (Linear-Diminish)_texas",Linear-Diminish,"Hybrid (30% Solo, 70% ViaBTC)",texas,0.6651557676429127,16099.180336991882,0.027714823651788068,670.7991807080091,1.8142621340351848,1.801110457465298,94.98771996454487
Ocean (TIDES) (Linear-Diminish)_denmark,Linear-Diminish,Ocean (TIDES),denmark,0.7318090599057159,16059.777523018412,0.030492044162738232,669.1573967924314,1.8913803449535551,1.6553796460858088,97.3102608706746
Ocean (TIDES) (Always-On)_denmark,Always-On,Ocean (TIDES),denmark,0.7396267688419591,15584.618142280702,0.030817782035081943,649.3590892616912,1.9465357074866174,1.544065769473557,100.0
Antpool (PPLNS) (Stop-Loss)_denmark,Stop-Loss,Antpool (PPLNS),denmark,0.6683746483610066,15516.444180464363,0.02784894368170809,646.5185075193455,1.7519587299602506,1.69424182765996,88.41505524861878
Antpool (PPLNS) (Step-Diminish)_denmark,Step-Diminish,Antpool (PPLNS),denmark,0.7025906080191752,15236.800410469965,0.029274608667465913,634.866683769577,1.867594756743276,1.6259658462822402,95.7389502762431
Antpool (PPLNS) (Linear-Diminish)_denmark,Linear-Diminish,Antpool (PPLNS),denmark,0.7081978984414653,15191.612714860717,0.02950824576839468,632.9838631192107,1.8852876321646321,1.6154234310612872,96.93450283209499
"Hybrid (30% Solo, 70% ViaBTC) (Linear-Diminish)_denmark",Linear-Diminish,"Hybrid (30% Solo, 70% ViaBTC)",denmark,0.6572356592122752,15147.433932206251,0.02738481913384444,631.1430805085813,1.6624058099473524,1.3878516689167755,87.59911458496893
"Hybrid (30% Solo, 70% ViaBTC) (Always-On)_denmark",Always-On,"Hybrid (30% Solo, 70% ViaBTC)",denmark,0.7470504022743252,15005.359646211964,0.031127100094763688,625.2233185921561,1.4928374422870683,1.181176852015667,100.0
Antpool (PPLNS) (Always-On)_denmark,Always-On,Antpool (PPLNS),denmark,0.7174379657767201,14680.930486975663,0.02989324857402949,611.7054369573286,1.9465357074866174,1.4943737059200273,100.0
"Hybrid (30% Solo, 70% Foundry USA) (Always-On)_denmark",Always-On,"Hybrid (30% Solo, 70% Foundry USA)",denmark,0.70039968166242,13939.892454901776,0.029183320069267812,580.828852287572,1.6238013932920845,1.0233520497983175,100.0
"Hybrid (30% Solo, 70% ViaBTC) (Step-Diminish)_denmark",Step-Diminish,"Hybrid (30% Solo, 70% ViaBTC)",denmark,0.5990503918696137,13690.184582276406,0.024960432994566826,570.424357594858,1.6612676067908612,1.2756867778984957,84.68581146408839
"Hybrid (30% Solo, 70% ViaBTC) (Always-On)_texas",Always-On,"Hybrid (30% Solo, 70% ViaBTC)",texas,0.6153791289760504,13512.200707481077,0.02564079704066884,563.0083628117078,1.9167385961339525,1.296651662463541,100.0
